Date,Open,High,Low,Close,High_Low_Diff,Volume
4/08/2015,281.225006,285.714996,281.225006,285.217987,4.48999,21908700
5/08/2015,284.846985,285.501007,281.488007,281.881989,4.013,20128000
6/08/2015,281.906006,281.906006,278.403015,278.576996,3.502991,18792100
7/08/2015,278.740997,280.391998,276.365997,279.584991,4.026001,42484800
8/08/2015,279.742004,279.928009,260.709991,260.997009,19.218018,58533000
9/08/2015,261.115997,267.002991,260.467987,265.083008,6.535004,23789600
10/08/2015,265.477997,267.032013,262.596008,264.470001,4.436005,20979400
11/08/2015,264.34201,270.385986,264.093994,270.385986,6.291992,25433900
12/08/2015,270.597992,270.673004,265.468994,266.376007,5.20401,26815400
13/08/2015,266.183014,266.231995,262.841003,264.079987,3.390992,27685500
14/08/2015,264.131989,267.466003,261.477997,265.679993,5.988006,27091200
15/08/2015,265.528992,266.666992,261.29599,261.550995,5.371002,19321100
16/08/2015,261.865997,262.440002,257.040985,258.506989,5.399017,29717000
17/08/2015,258.48999,260.505005,257.117004,257.976013,3.388001,21617900
18/08/2015,257.925995,257.993011,211.078995,211.078995,46.914016,42147200
19/08/2015,225.671005,237.408997,222.766006,226.684006,14.642991,60869200
20/08/2015,226.899002,237.365005,226.899002,235.350006,10.466003,32275000
21/08/2015,235.354996,236.432007,231.723999,232.569,4.708008,23173800
22/08/2015,232.662003,234.957001,222.703995,230.389999,12.253006,23205900
23/08/2015,230.376007,232.705002,225.580002,228.169006,7.125,18406600
24/08/2015,228.112,228.139008,210.442993,210.494995,17.696015,59220700
25/08/2015,210.067993,226.320999,199.567001,221.608994,26.753998,61089200
26/08/2015,222.076004,231.182999,220.203995,225.830994,10.979004,31808000
27/08/2015,226.050003,228.643005,223.684006,224.768997,4.958999,21905400
28/08/2015,224.701004,235.218994,220.925995,231.395996,14.292999,31336600
29/08/2015,231.548996,233.222,227.330002,229.779999,5.891998,17142500
30/08/2015,229.895004,232.067993,226.246994,228.761002,5.820999,19412600
31/08/2015,229.113998,231.955994,225.914993,230.056,6.041001,20710700
1/09/2015,230.255997,231.216003,226.860001,228.121002,4.356002,20575200
2/09/2015,228.026993,230.576996,226.475006,229.283997,4.10199,18760400
3/09/2015,229.324005,229.604996,226.667007,227.182999,2.937989,17482000
4/09/2015,227.214996,230.899994,227.050995,230.298004,3.848999,20962400
5/09/2015,230.199005,236.143005,229.442993,235.018997,6.700012,20671400
6/09/2015,234.869995,242.912003,234.681,239.839996,8.231003,25473700
7/09/2015,239.934006,242.106003,238.722,239.847,3.384003,21192200
8/09/2015,239.845993,245.781006,239.677994,243.606995,6.103012,26879200
9/09/2015,243.414993,244.416,237.820999,238.167999,6.595001,23635700
10/09/2015,238.335999,241.292999,235.791,238.477005,5.501999,21215500
11/09/2015,238.328995,241.169006,238.328995,240.106995,2.840011,19224700
12/09/2015,239.854996,240.123993,234.753998,235.229004,5.369995,17962600
13/09/2015,235.242004,235.934998,229.332001,230.511993,6.602997,18478800
14/09/2015,230.608994,232.440002,227.960999,230.643997,4.479003,20997800
15/09/2015,230.492004,259.182007,229.822006,230.304001,29.360001,19177800
16/09/2015,230.25,231.214996,227.401993,229.091003,3.813003,20144200
17/09/2015,229.076004,230.285004,228.925995,229.809998,1.359009,18935400
18/09/2015,233.520996,234.352997,232.184998,232.975006,2.167999,20242200
19/09/2015,232.858002,233.205002,231.089005,231.492996,2.115997,12712600
20/09/2015,231.399002,232.365005,230.910004,231.212006,1.455001,14444700
21/09/2015,231.216995,231.216995,226.520996,227.085007,4.695999,19678800
22/09/2015,226.968994,232.386002,225.117004,230.617996,7.268998,25009300
23/09/2015,230.936005,231.835007,229.591003,230.283005,2.244004,17254100
24/09/2015,230.358002,235.649002,230.294998,234.529007,5.354004,25097800
25/09/2015,234.362,237.427002,233.684006,235.143997,3.742996,22363600
